,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalOutdoorArea,YearsSinceSold
0,250,0,0,0,0,0,,,,0,6,2010,WD,Normal,145000,250,15
1,0,40,0,0,0,0,,,,0,5,2009,WD,Normal,178000,40,16
2,328,0,164,0,0,0,,MnPrv,,0,5,2008,WD,Normal,85000,492,17
3,0,0,264,0,0,0,,MnPrv,,0,6,2007,WD,Normal,175000,264,18
4,0,0,242,0,0,0,,,,0,5,2010,WD,Normal,127000,242,15
5,256,0,0,0,0,0,,GdWo,,0,7,2006,WD,Abnorml,149900,256,19
6,100,38,0,0,0,0,,,,0,3,2009,WD,Normal,174000,138,16
7,0,96,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal,125500,96,15
8,276,0,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,175500,276,17
9,168,130,0,0,0,0,,,,0,6,2007,New,Partial,225000,298,18
10,0,0,252,0,0,0,,,,0,5,2007,WD,Normal,129000,252,18
11,0,0,0,0,0,0,,GdWo,,0,6,2006,WD,Normal,159950,0,19
12,0,0,0,0,0,0,,,,0,4,2009,COD,Abnorml,157000,0,16
13,0,42,0,0,189,0,,,,0,10,2009,WD,Normal,205000,231,16
14,0,0,0,0,0,0,,,,0,7,2006,COD,Normal,140000,0,19
15,120,46,0,0,0,0,,,,0,12,2009,ConLI,Normal,200000,166,16
16,166,120,192,0,0,0,,MnPrv,,0,10,2007,COD,Abnorml,217000,478,18
17,140,50,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,125000,190,17
18,252,0,0,0,0,0,,MnPrv,,0,7,2009,WD,Normal,159500,252,16
19,192,0,0,0,0,0,,,,0,11,2008,WD,Normal,184000,192,17
20,0,0,112,0,0,0,,MnPrv,,0,6,2007,WD,Normal,96500,112,18
21,0,0,0,0,0,0,,,,0,8,2009,WD,Normal,200000,0,16
22,0,0,0,0,0,0,,,,0,8,2006,WD,Family,149000,0,19
23,0,72,0,0,0,0,,,,0,7,2007,New,Partial,178900,72,18
24,0,41,0,0,0,0,,,,0,8,2009,WD,Normal,184900,41,16
25,0,54,0,0,0,0,,,,0,6,2007,New,Partial,164700,54,18
26,0,207,162,0,0,0,,,,0,5,2010,WD,Normal,335000,369,15
27,0,0,0,0,0,0,,,,0,5,2006,WD,Normal,87500,0,19
28,0,114,0,0,0,0,,,,0,9,2009,New,Partial,233170,114,16
29,0,65,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,149350,65,17
30,0,28,0,0,0,0,,,Othr,0,9,2009,WD,Normal,133000,28,16
31,0,0,96,0,0,0,,,,0,4,2008,WD,Normal,98000,96,17
32,384,131,0,0,0,0,,,,0,5,2006,WD,Normal,207500,515,19
33,120,78,0,0,0,0,,GdWo,,0,6,2009,WD,Normal,150000,198,16
34,120,0,0,0,0,0,,,,0,4,2009,WD,Normal,134900,120,16
35,216,121,0,0,0,0,,,,0,8,2006,New,Partial,187750,337,19
36,0,0,0,162,0,0,,,,0,2,2009,WD,Normal,149500,162,16
37,0,0,0,0,0,0,,,Shed,0,7,2006,Oth,Abnorml,116050,0,19
38,120,0,0,0,0,0,,,,0,6,2009,WD,Alloca,153337,120,16
39,511,116,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,165000,627,17
40,0,0,0,0,0,0,,MnPrv,,0,10,2008,WD,Normal,130500,0,17
41,0,0,0,0,0,0,,,,0,11,2008,WD,Alloca,206300,0,17
42,0,102,0,0,0,0,,,,0,2,2008,WD,Abnorml,146000,102,17
43,74,0,0,0,0,0,,,,0,7,2007,COD,Normal,126500,74,18
44,242,0,81,0,0,0,,,,0,11,2007,WD,Normal,139000,323,18
45,0,0,102,0,0,0,,,,0,6,2009,New,Partial,113000,102,16
46,0,8,128,0,0,0,,,,0,4,2008,WD,Normal,79000,136,17
47,0,120,0,0,0,0,,,,0,12,2008,New,Partial,182000,120,17
48,224,84,0,0,0,0,,,,0,6,2008,WD,Normal,188000,308,17
49,194,0,0,0,0,0,,,,0,7,2007,WD,Normal,129000,194,18
50,0,0,228,0,0,0,,,,0,7,2006,WD,Normal,160000,228,19
51,0,36,0,0,0,0,,GdPrv,,0,7,2008,COD,Abnorml,174000,36,17
52,100,17,0,0,0,0,,,,0,11,2006,New,Partial,219210,117,19
53,168,52,0,0,0,0,,,,0,4,2009,WD,Normal,310000,220,16
54,206,49,0,0,0,0,,,,0,8,2006,WD,Normal,374000,255,19
55,0,0,184,0,0,0,,,,0,7,2007,WD,Normal,100000,184,18
56,0,65,0,0,222,0,,,,0,8,2006,WD,Normal,250000,287,19
57,88,0,0,0,0,0,,,,0,5,2006,WD,Normal,145000,88,19
58,105,502,0,0,0,0,,,,0,7,2008,WD,Normal,325000,607,17
59,414,84,0,0,0,0,,,,0,3,2007,WD,Normal,380000,498,18
60,128,53,0,0,155,0,,,,0,1,2008,WD,Normal,275000,336,17
61,165,26,0,0,0,0,,,,0,5,2006,WD,Normal,180000,191,19
62,160,33,0,0,0,0,,,,0,2,2010,WD,Normal,245350,193,15
63,0,0,0,0,0,0,,,Gar2,15500,4,2007,WD,Normal,151500,0,18
64,150,72,0,0,0,0,,,,0,5,2006,WD,Normal,134500,222,19
65,0,0,176,0,0,0,,,,0,5,2010,WD,Normal,94000,176,15
66,0,96,0,0,0,0,,,,0,1,2010,WD,Normal,216000,96,15
67,236,46,0,0,0,0,,,,0,8,2008,WD,Normal,350000,282,17
68,0,224,0,0,0,0,,,,0,6,2007,WD,Normal,195000,224,18
69,0,28,0,0,0,0,,,,0,4,2009,WD,Normal,120000,28,16
70,192,87,0,0,0,0,,,,0,8,2007,WD,Normal,228500,279,18
71,168,98,0,0,0,0,,,,0,1,2009,WD,Normal,248000,266,16
72,0,88,0,0,0,0,,,,0,8,2008,COD,Normal,124000,88,17
73,156,20,0,0,0,0,,,,0,5,2008,WD,Normal,191000,176,17
74,265,0,0,0,0,648,Fa,GdPrv,,0,1,2006,WD,Normal,181000,913,19
75,0,0,0,0,0,0,,MnPrv,,0,10,2009,WD,Normal,105000,0,16
76,0,0,36,0,0,0,,GdWo,Shed,600,8,2007,WD,Normal,139900,36,18
77,0,0,275,0,0,0,,,Shed,500,4,2007,COD,Normal,157900,275,18
78,0,0,0,0,0,0,,,,0,5,2008,WD,Normal,130500,0,17
79,100,40,0,0,0,0,,,,0,1,2006,WD,Normal,172400,140,19
80,0,50,0,0,0,0,,MnPrv,,0,2,2007,WD,Normal,130000,50,18
81,100,35,0,0,0,0,,,,0,10,2006,WD,Normal,178000,135,19
82,0,0,0,0,197,0,,,,0,9,2009,WD,Normal,161500,197,16
83,0,0,0,0,271,0,,MnPrv,,0,5,2006,WD,Normal,119900,271,19
84,0,0,0,0,0,0,,,,0,7,2006,WD,Normal,239000,0,19
85,0,122,0,0,0,0,,MnPrv,,0,1,2010,COD,Normal,190000,122,15
86,0,0,0,0,0,0,,,,0,7,2008,COD,Abnorml,85400,0,17
87,168,68,0,0,0,0,,,,0,2,2010,WD,Normal,205000,236,15
88,120,0,158,0,0,0,,,,0,6,2007,WD,Normal,134000,278,18
89,439,0,0,0,0,0,,,,0,3,2007,WD,Normal,168000,439,18
90,95,75,0,0,0,0,,,,0,6,2006,WD,Normal,185000,170,19
91,227,0,0,0,0,0,,,,0,4,2010,WD,Normal,180500,227,15
92,289,0,0,0,0,0,,MnPrv,,0,6,2007,WD,Normal,152000,289,18
93,182,81,0,0,0,0,,,,0,9,2006,WD,Normal,215000,263,19
94,0,0,0,0,0,0,,,,0,5,2009,WD,Normal,153000,0,16
95,40,156,0,0,0,0,,MnPrv,,0,11,2009,WD,Normal,106000,196,16
96,159,214,0,0,0,0,,,,0,12,2007,WD,Normal,340000,373,18
97,0,0,0,0,128,0,,GdPrv,,0,6,2006,WD,Normal,159000,128,19
98,0,0,112,0,0,0,,,,0,7,2008,WD,Normal,120000,112,17
99,0,0,0,0,0,0,,GdPrv,,0,11,2009,WD,Normal,115000,0,16
100,0,205,0,0,0,0,,,,0,2,2007,WD,Normal,128000,205,18
101,0,108,0,0,260,0,,,,0,7,2007,New,Partial,314813,368,18
102,0,0,0,0,160,0,,,,0,1,2009,WD,Normal,131000,160,16
103,126,66,0,0,0,0,,,,0,11,2008,New,Partial,446261,192,17
104,0,0,0,0,120,0,,,,0,11,2007,WD,Normal,127500,120,18
105,0,0,0,0,0,0,,,,0,6,2009,WD,Normal,155000,0,16
106,0,26,0,0,0,0,,,,0,8,2007,WD,Normal,177500,26,18
107,237,0,0,0,0,0,,,,0,5,2007,WD,Normal,128500,237,18
108,100,24,0,0,0,0,,,,0,7,2008,WD,Normal,176000,124,17
109,517,76,0,0,0,0,,,,0,7,2009,WD,Normal,402000,593,16
110,0,192,0,0,0,0,,,,0,11,2008,WD,Abnorml,130000,192,17
111,0,0,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal,145000,0,17
112,0,80,120,0,0,0,,,,0,7,2009,WD,Normal,147000,200,16
113,0,0,0,0,0,0,,,,0,4,2010,ConLI,Normal,115000,0,15
114,140,60,0,0,0,0,,,,0,6,2010,WD,Normal,189000,200,15
115,0,0,0,0,0,0,,,,0,6,2007,WD,Normal,143000,0,18
116,38,243,0,0,0,0,,,,0,6,2008,WD,Normal,240000,281,17
117,172,62,0,0,0,0,,,,0,7,2009,WD,Normal,230000,234,16
118,240,39,0,0,0,0,,,,0,6,2010,WD,Normal,190000,279,15
119,0,35,0,144,0,0,,,,0,5,2010,WD,Normal,213000,179,15
120,164,0,0,0,0,0,,,,0,12,2009,WD,Normal,82500,164,16
121,0,26,0,0,170,0,,,,0,1,2009,WD,Normal,274900,196,16
122,0,0,0,0,0,0,,,,0,6,2008,WD,Normal,155000,0,17
123,192,267,0,0,0,0,,,,0,1,2006,New,Partial,423000,459,19
124,0,0,0,0,0,0,,,,0,6,2006,WD,Normal,128500,0,19
125,0,102,0,0,0,0,,,,0,7,2009,WD,Normal,335000,102,16
126,0,114,192,0,0,0,,GdPrv,,0,7,2006,WD,Normal,262000,306,19
127,0,0,0,0,0,0,,,,0,2,2008,WD,Normal,129500,0,17
128,144,48,0,0,0,0,,,,0,5,2010,WD,Normal,222500,192,15
129,0,30,0,0,216,0,,,,0,4,2006,WD,Normal,270000,246,19
130,172,62,0,0,0,0,,,,0,4,2009,ConLw,Normal,207500,234,16
131,224,0,0,0,0,0,,,,0,6,2007,WD,Normal,175000,224,18
132,72,192,224,0,0,0,,GdPrv,,0,11,2007,WD,Normal,238000,488,18
133,0,184,0,0,0,0,,,,0,3,2008,WD,Normal,135900,184,17
134,192,35,0,0,0,0,,,,0,6,2010,New,Partial,224000,227,15
135,100,0,0,0,0,0,,,,0,12,2007,WD,Normal,170000,100,18
136,0,113,0,0,0,0,,,,0,10,2009,WD,Normal,185000,113,16
137,182,182,0,0,0,0,,,,0,11,2009,WD,Normal,263000,364,16
138,0,0,236,0,0,0,,GdWo,,0,12,2009,WD,Normal,62383,236,16
139,0,80,0,180,0,0,,MnWw,,0,7,2006,WD,Abnorml,150000,260,19
140,0,0,0,0,0,0,,,,0,1,2007,WD,Normal,171000,0,18
141,0,0,0,0,0,0,,,,0,8,2007,WD,Normal,139000,0,18
142,142,98,0,0,0,0,,,,0,7,2006,WD,Normal,126175,240,19
143,0,0,0,0,0,0,,,,0,5,2008,WD,Normal,205950,0,17
144,0,46,0,0,0,0,,GdPrv,Shed,800,8,2009,ConLI,Normal,110000,46,16
145,144,78,0,0,0,0,,,,0,7,2009,New,Partial,485000,222,16
146,98,0,0,0,0,0,,MnPrv,,0,5,2008,WD,Normal,174000,98,17
147,0,28,0,0,0,0,,,,0,5,2006,WD,Normal,145000,28,19
148,169,45,0,0,0,0,,,,0,6,2010,Con,Normal,215200,214,15
149,0,191,0,0,0,0,,,,0,3,2007,WD,Normal,320000,191,18
150,158,61,0,0,0,0,,,,0,4,2009,ConLw,Normal,212000,219,16
151,176,0,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,168500,176,17
152,635,104,0,0,0,0,,GdPrv,Shed,400,5,2010,WD,Normal,189000,739,15
153,280,34,0,0,0,0,,,,0,12,2008,WD,Normal,140000,314,17
154,315,44,0,0,0,0,,,,0,7,2006,WD,Normal,187500,359,19
