MSSubClass,LotFrontage,LotArea,SalePrice,LotArea_m^2,Price_per_m^2,ZoningScore,SubClassScore,LotAreaNorm,PDI,Price_per_m^2_norm,EVI,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn
60,65.0,8450,208500,785.03035,265.5948270025484,0.8350439463269663,0.3157894736842105,0.0334198041552735,0.4387803618826318,0.2477187063375424,0.4375304318037032,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,80.0,9600,181500,891.8688,203.5052689364176,0.8350439463269663,0.1052631578947368,0.0387950174110168,0.3772350311225126,0.1863499433778135,0.364740787165944,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
60,68.0,11250,223500,1045.15875,213.84311235015733,0.8350439463269663,0.3157894736842105,0.0465072799083876,0.442706604608566,0.1965677751957961,0.4119549662328301,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
70,60.0,9550,140000,887.22365,157.79561331576318,0.8350439463269663,0.3684210526315789,0.0385613124868541,0.4561122880663165,0.1411709292549064,0.3947828590518589,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,84.0,14260,250000,1324.79678,188.7081881343341,0.8350439463269663,0.3157894736842105,0.0605763163429853,0.4469273155389453,0.1717246412735235,0.3995333992716938,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
50,85.0,14115,143000,1311.325845,109.049936402344,0.8350439463269663,0.2631578947368421,0.0598985720629133,0.4309345185707132,0.0929911388845999,0.3496403322877583,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,75.0,10084,307000,936.833852,327.6995161357598,0.8350439463269663,0.1052631578947368,0.0410572810769122,0.3779137102222812,0.3091024247084214,0.426117027831248,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,81.28888888888889,10382,200000,964.518946,207.35725392376065,0.8350439463269663,0.3157894736842105,0.0424501624249222,0.4414894693635264,0.1901572108310769,0.4087496840504705,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
50,51.0,6120,129900,568.56636,228.4693733902934,0.3712831948941708,0.2631578947368421,0.0225291546892893,0.2342193927855077,0.2110242405776758,0.2695286577044576,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
190,50.0,7420,118000,689.34026,171.17816388672847,0.8350439463269663,1.0,0.0286054827175208,0.6425992233460428,0.1543981223509086,0.5277122450735443,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
