,MSSubClass,LotFrontage,LotArea,SalePrice,LotArea_m^2,Price_per_m^2,ZoningScore,SubClassScore,LotAreaNorm,PDI,Price_per_m^2_norm,EVI,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn
0,20,70.0,8400,145000,780.3851999999999,185.8056764787441,0.7956049338860387,0.1052631578947368,0.0331860992311108,0.3597767506921698,0.168855824755454,0.344162024122486,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1,60,59.0,7837,178000,728.080811,244.47835640046827,0.7956049338860387,0.3157894736842105,0.0305545817850382,0.4221451901951901,0.2268473759675485,0.415263062886428,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2,30,67.0,8777,85000,815.409631,104.24208492087337,0.7956049338860387,0.1578947368421052,0.0349482343592979,0.3760948649148364,0.0882391015517251,0.3143799783100952,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,50,60.0,7200,175000,668.9016,261.6229352717948,0.7956049338860387,0.2631578947368421,0.0275771810512047,0.4054624962908296,0.2437929241332835,0.4132095211798217,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,50,50.0,5000,127000,464.515,273.40344230003336,0.7956049338860387,0.2631578947368421,0.0172941643880436,0.4023775912918813,0.2554366717436527,0.4190313949850063,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
5,20,70.0,9800,149900,910.4494,164.6439659359433,0.7956049338860387,0.1052631578947368,0.0397298371076678,0.3617398720551369,0.1479397796333363,0.3337040015614271,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
6,60,122.0,11911,174000,1106.567633,157.24298706286126,0.7956049338860387,0.3157894736842105,0.0495968590058192,0.4278578733614244,0.1406247184172719,0.3721517341112896,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
7,50,40.0,5436,125500,505.020708,248.5046613177692,0.3107389240247977,0.2631578947368421,0.0193320713267428,0.2090425594289946,0.2308269396779273,0.2612667259937714,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
8,20,78.0,12090,175500,1123.19727,156.25037977522862,0.7956049338860387,0.1052631578947368,0.0504335226343219,0.3649509777131331,0.1396436342665045,0.3295559288780113,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
9,20,76.0,9158,225000,850.805674,264.45521800786673,0.7956049338860387,0.1052631578947368,0.0367290658814181,0.360839640687262,0.2465923270164511,0.3830302752529845,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
10,85,70.0,8400,129000,780.3851999999999,165.30298114315855,0.7956049338860387,0.4473684210526316,0.0331860992311108,0.4624083296395382,0.1485911443603226,0.4024507365564992,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
11,80,85.0,13400,159950,1244.9002,128.48419495795727,0.7956049338860387,0.4210526315789473,0.056556591647386,0.4615247405223155,0.1121997859380583,0.3789918994506302,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
