BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,SalePrice,HouseAge,YearsSinceRemodel,IsRemodeled,AgeCategory
TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,235000,19,18,1,New
2fmCon,1Story,5,4,1965,1965,Hip,CompShg,Plywood,HdBoard,,0.0,131500,60,60,0,Old
TwnhsE,1Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,215000,22,22,0,Moderate
Duplex,SFoyer,6,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,104.0,118500,35,35,0,Moderate
TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,BrkFace,,0.0,324000,32,32,0,Moderate
1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,158.0,193000,26,26,0,Moderate
1Fam,1Story,5,6,1956,1956,Hip,CompShg,MetalSd,MetalSd,,0.0,128900,69,69,0,Old
1Fam,1Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,155000,19,18,1,New
1Fam,2Story,6,6,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,360.0,167900,61,61,0,Old
1Fam,1.5Fin,5,6,1946,1995,Gable,CompShg,MetalSd,MetalSd,,0.0,130500,79,30,1,Old
1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,,0.0,127000,53,53,0,Old
1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,195000,21,20,1,Moderate
1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,162000,66,19,1,Old
1Fam,2Story,7,5,1990,1990,Hip,CompShg,HdBoard,HdBoard,BrkFace,99.0,262280,35,35,0,Moderate
TwnhsE,1Story,8,5,1988,1989,Gable,CompShg,HdBoard,HdBoard,,0.0,189000,37,36,1,Moderate
1Fam,2Story,7,9,1928,2005,Gambrel,CompShg,MetalSd,MetalSd,,0.0,161000,97,20,1,Old
1Fam,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,,0.0,129900,67,67,0,Old
2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,93000,71,71,0,Old
1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,274.0,248900,19,18,1,New
1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,,0.0,123000,72,72,0,Old
1Fam,1Story,5,5,1954,1954,Gable,CompShg,Wd Sdng,Plywood,,0.0,165000,71,71,0,Old
1Fam,1Story,5,7,1949,1950,Gable,CompShg,HdBoard,HdBoard,,0.0,133000,76,75,1,Old
1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,256.0,260000,32,32,0,Moderate
TwnhsE,1Story,8,5,2008,2008,Hip,CompShg,CemntBd,CmentBd,Stone,186.0,392500,17,17,0,New
1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,185000,21,20,1,Moderate
