WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
250,0,0,0,0,0,,,,0,6,2010,WD,Normal,145000
0,40,0,0,0,0,,,,0,5,2009,WD,Normal,178000
328,0,164,0,0,0,,MnPrv,,0,5,2008,WD,Normal,85000
0,0,264,0,0,0,,MnPrv,,0,6,2007,WD,Normal,175000
0,0,242,0,0,0,,,,0,5,2010,WD,Normal,127000
256,0,0,0,0,0,,GdWo,,0,7,2006,WD,Abnorml,149900
100,38,0,0,0,0,,,,0,3,2009,WD,Normal,174000
0,96,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal,125500
276,0,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,175500
168,130,0,0,0,0,,,,0,6,2007,New,Partial,225000
0,0,252,0,0,0,,,,0,5,2007,WD,Normal,129000
0,0,0,0,0,0,,GdWo,,0,6,2006,WD,Normal,159950
0,0,0,0,0,0,,,,0,4,2009,COD,Abnorml,157000
0,42,0,0,189,0,,,,0,10,2009,WD,Normal,205000
0,0,0,0,0,0,,,,0,7,2006,COD,Normal,140000
120,46,0,0,0,0,,,,0,12,2009,ConLI,Normal,200000
166,120,192,0,0,0,,MnPrv,,0,10,2007,COD,Abnorml,217000
140,50,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,125000
252,0,0,0,0,0,,MnPrv,,0,7,2009,WD,Normal,159500
192,0,0,0,0,0,,,,0,11,2008,WD,Normal,184000
0,0,112,0,0,0,,MnPrv,,0,6,2007,WD,Normal,96500
0,0,0,0,0,0,,,,0,8,2009,WD,Normal,200000
0,0,0,0,0,0,,,,0,8,2006,WD,Family,149000
0,72,0,0,0,0,,,,0,7,2007,New,Partial,178900
0,41,0,0,0,0,,,,0,8,2009,WD,Normal,184900
0,54,0,0,0,0,,,,0,6,2007,New,Partial,164700
0,207,162,0,0,0,,,,0,5,2010,WD,Normal,335000
0,0,0,0,0,0,,,,0,5,2006,WD,Normal,87500
0,114,0,0,0,0,,,,0,9,2009,New,Partial,233170
0,65,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,149350
0,28,0,0,0,0,,,Othr,0,9,2009,WD,Normal,133000
0,0,96,0,0,0,,,,0,4,2008,WD,Normal,98000
384,131,0,0,0,0,,,,0,5,2006,WD,Normal,207500
120,78,0,0,0,0,,GdWo,,0,6,2009,WD,Normal,150000
120,0,0,0,0,0,,,,0,4,2009,WD,Normal,134900
216,121,0,0,0,0,,,,0,8,2006,New,Partial,187750
0,0,0,162,0,0,,,,0,2,2009,WD,Normal,149500
0,0,0,0,0,0,,,Shed,0,7,2006,Oth,Abnorml,116050
120,0,0,0,0,0,,,,0,6,2009,WD,Alloca,153337
511,116,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,165000
0,0,0,0,0,0,,MnPrv,,0,10,2008,WD,Normal,130500
0,0,0,0,0,0,,,,0,11,2008,WD,Alloca,206300
0,102,0,0,0,0,,,,0,2,2008,WD,Abnorml,146000
74,0,0,0,0,0,,,,0,7,2007,COD,Normal,126500
242,0,81,0,0,0,,,,0,11,2007,WD,Normal,139000
0,0,102,0,0,0,,,,0,6,2009,New,Partial,113000
0,8,128,0,0,0,,,,0,4,2008,WD,Normal,79000
0,120,0,0,0,0,,,,0,12,2008,New,Partial,182000
224,84,0,0,0,0,,,,0,6,2008,WD,Normal,188000
194,0,0,0,0,0,,,,0,7,2007,WD,Normal,129000
0,0,228,0,0,0,,,,0,7,2006,WD,Normal,160000
0,36,0,0,0,0,,GdPrv,,0,7,2008,COD,Abnorml,174000
100,17,0,0,0,0,,,,0,11,2006,New,Partial,219210
168,52,0,0,0,0,,,,0,4,2009,WD,Normal,310000
206,49,0,0,0,0,,,,0,8,2006,WD,Normal,374000
0,0,184,0,0,0,,,,0,7,2007,WD,Normal,100000
0,65,0,0,222,0,,,,0,8,2006,WD,Normal,250000
88,0,0,0,0,0,,,,0,5,2006,WD,Normal,145000
105,502,0,0,0,0,,,,0,7,2008,WD,Normal,325000
414,84,0,0,0,0,,,,0,3,2007,WD,Normal,380000
128,53,0,0,155,0,,,,0,1,2008,WD,Normal,275000
165,26,0,0,0,0,,,,0,5,2006,WD,Normal,180000
160,33,0,0,0,0,,,,0,2,2010,WD,Normal,245350
0,0,0,0,0,0,,,Gar2,15500,4,2007,WD,Normal,151500
150,72,0,0,0,0,,,,0,5,2006,WD,Normal,134500
0,0,176,0,0,0,,,,0,5,2010,WD,Normal,94000
0,96,0,0,0,0,,,,0,1,2010,WD,Normal,216000
236,46,0,0,0,0,,,,0,8,2008,WD,Normal,350000
0,224,0,0,0,0,,,,0,6,2007,WD,Normal,195000
0,28,0,0,0,0,,,,0,4,2009,WD,Normal,120000
192,87,0,0,0,0,,,,0,8,2007,WD,Normal,228500
168,98,0,0,0,0,,,,0,1,2009,WD,Normal,248000
0,88,0,0,0,0,,,,0,8,2008,COD,Normal,124000
156,20,0,0,0,0,,,,0,5,2008,WD,Normal,191000
265,0,0,0,0,648,Fa,GdPrv,,0,1,2006,WD,Normal,181000
0,0,0,0,0,0,,MnPrv,,0,10,2009,WD,Normal,105000
0,0,36,0,0,0,,GdWo,Shed,600,8,2007,WD,Normal,139900
0,0,275,0,0,0,,,Shed,500,4,2007,COD,Normal,157900
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,130500
100,40,0,0,0,0,,,,0,1,2006,WD,Normal,172400
0,50,0,0,0,0,,MnPrv,,0,2,2007,WD,Normal,130000
100,35,0,0,0,0,,,,0,10,2006,WD,Normal,178000
0,0,0,0,197,0,,,,0,9,2009,WD,Normal,161500
0,0,0,0,271,0,,MnPrv,,0,5,2006,WD,Normal,119900
0,0,0,0,0,0,,,,0,7,2006,WD,Normal,239000
0,122,0,0,0,0,,MnPrv,,0,1,2010,COD,Normal,190000
0,0,0,0,0,0,,,,0,7,2008,COD,Abnorml,85400
168,68,0,0,0,0,,,,0,2,2010,WD,Normal,205000
120,0,158,0,0,0,,,,0,6,2007,WD,Normal,134000
439,0,0,0,0,0,,,,0,3,2007,WD,Normal,168000
95,75,0,0,0,0,,,,0,6,2006,WD,Normal,185000
227,0,0,0,0,0,,,,0,4,2010,WD,Normal,180500
289,0,0,0,0,0,,MnPrv,,0,6,2007,WD,Normal,152000
182,81,0,0,0,0,,,,0,9,2006,WD,Normal,215000
0,0,0,0,0,0,,,,0,5,2009,WD,Normal,153000
40,156,0,0,0,0,,MnPrv,,0,11,2009,WD,Normal,106000
159,214,0,0,0,0,,,,0,12,2007,WD,Normal,340000
0,0,0,0,128,0,,GdPrv,,0,6,2006,WD,Normal,159000
0,0,112,0,0,0,,,,0,7,2008,WD,Normal,120000
0,0,0,0,0,0,,GdPrv,,0,11,2009,WD,Normal,115000
0,205,0,0,0,0,,,,0,2,2007,WD,Normal,128000
0,108,0,0,260,0,,,,0,7,2007,New,Partial,314813
0,0,0,0,160,0,,,,0,1,2009,WD,Normal,131000
126,66,0,0,0,0,,,,0,11,2008,New,Partial,446261
0,0,0,0,120,0,,,,0,11,2007,WD,Normal,127500
0,0,0,0,0,0,,,,0,6,2009,WD,Normal,155000
0,26,0,0,0,0,,,,0,8,2007,WD,Normal,177500
237,0,0,0,0,0,,,,0,5,2007,WD,Normal,128500
100,24,0,0,0,0,,,,0,7,2008,WD,Normal,176000
517,76,0,0,0,0,,,,0,7,2009,WD,Normal,402000
0,192,0,0,0,0,,,,0,11,2008,WD,Abnorml,130000
0,0,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal,145000
0,80,120,0,0,0,,,,0,7,2009,WD,Normal,147000
0,0,0,0,0,0,,,,0,4,2010,ConLI,Normal,115000
140,60,0,0,0,0,,,,0,6,2010,WD,Normal,189000
0,0,0,0,0,0,,,,0,6,2007,WD,Normal,143000
38,243,0,0,0,0,,,,0,6,2008,WD,Normal,240000
172,62,0,0,0,0,,,,0,7,2009,WD,Normal,230000
240,39,0,0,0,0,,,,0,6,2010,WD,Normal,190000
0,35,0,144,0,0,,,,0,5,2010,WD,Normal,213000
164,0,0,0,0,0,,,,0,12,2009,WD,Normal,82500
