WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Cluster,Silhouette
250,0,0,0,0,0,,,,0,6,2010,WD,Normal,0,0
0,40,0,0,0,0,,,,0,5,2009,WD,Normal,1,1
328,0,164,0,0,0,,MnPrv,,0,5,2008,WD,Normal,9,0
0,0,264,0,0,0,,MnPrv,,0,6,2007,WD,Normal,5,5
0,0,242,0,0,0,,,,0,5,2010,WD,Normal,5,5
256,0,0,0,0,0,,GdWo,,0,7,2006,WD,Abnorml,0,0
100,38,0,0,0,0,,,,0,3,2009,WD,Normal,6,6
0,96,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal,8,8
276,0,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,0,0
168,130,0,0,0,0,,,,0,6,2007,New,Partial,2,2
0,0,252,0,0,0,,,,0,5,2007,WD,Normal,5,5
0,0,0,0,0,0,,GdWo,,0,6,2006,WD,Normal,5,5
0,0,0,0,0,0,,,,0,4,2009,COD,Abnorml,5,5
0,42,0,0,189,0,,,,0,10,2009,WD,Normal,1,1
0,0,0,0,0,0,,,,0,7,2006,COD,Normal,5,5
120,46,0,0,0,0,,,,0,12,2009,ConLI,Normal,6,6
166,120,192,0,0,0,,MnPrv,,0,10,2007,COD,Abnorml,2,2
140,50,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,6,6
252,0,0,0,0,0,,MnPrv,,0,7,2009,WD,Normal,0,0
192,0,0,0,0,0,,,,0,11,2008,WD,Normal,0,6
0,0,112,0,0,0,,MnPrv,,0,6,2007,WD,Normal,5,5
0,0,0,0,0,0,,,,0,8,2009,WD,Normal,5,5
0,0,0,0,0,0,,,,0,8,2006,WD,Family,5,5
0,72,0,0,0,0,,,,0,7,2007,New,Partial,1,1
0,41,0,0,0,0,,,,0,8,2009,WD,Normal,1,1
0,54,0,0,0,0,,,,0,6,2007,New,Partial,1,1
0,207,162,0,0,0,,,,0,5,2010,WD,Normal,4,4
0,0,0,0,0,0,,,,0,5,2006,WD,Normal,5,5
0,114,0,0,0,0,,,,0,9,2009,New,Partial,8,8
0,65,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,1,1
0,28,0,0,0,0,,,Othr,0,9,2009,WD,Normal,1,1
0,0,96,0,0,0,,,,0,4,2008,WD,Normal,5,5
384,131,0,0,0,0,,,,0,5,2006,WD,Normal,7,7
120,78,0,0,0,0,,GdWo,,0,6,2009,WD,Normal,6,2
120,0,0,0,0,0,,,,0,4,2009,WD,Normal,6,6
216,121,0,0,0,0,,,,0,8,2006,New,Partial,2,2
0,0,0,162,0,0,,,,0,2,2009,WD,Normal,5,5
0,0,0,0,0,0,,,Shed,0,7,2006,Oth,Abnorml,5,5
120,0,0,0,0,0,,,,0,6,2009,WD,Alloca,6,6
511,116,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,7,7
0,0,0,0,0,0,,MnPrv,,0,10,2008,WD,Normal,5,5
0,0,0,0,0,0,,,,0,11,2008,WD,Alloca,5,5
0,102,0,0,0,0,,,,0,2,2008,WD,Abnorml,8,8
74,0,0,0,0,0,,,,0,7,2007,COD,Normal,5,5
242,0,81,0,0,0,,,,0,11,2007,WD,Normal,0,0
0,0,102,0,0,0,,,,0,6,2009,New,Partial,5,5
0,8,128,0,0,0,,,,0,4,2008,WD,Normal,5,5
0,120,0,0,0,0,,,,0,12,2008,New,Partial,8,8
224,84,0,0,0,0,,,,0,6,2008,WD,Normal,2,2
194,0,0,0,0,0,,,,0,7,2007,WD,Normal,0,6
0,0,228,0,0,0,,,,0,7,2006,WD,Normal,5,5
0,36,0,0,0,0,,GdPrv,,0,7,2008,COD,Abnorml,1,1
100,17,0,0,0,0,,,,0,11,2006,New,Partial,6,6
168,52,0,0,0,0,,,,0,4,2009,WD,Normal,6,6
206,49,0,0,0,0,,,,0,8,2006,WD,Normal,0,6
0,0,184,0,0,0,,,,0,7,2007,WD,Normal,5,5
0,65,0,0,222,0,,,,0,8,2006,WD,Normal,1,1
88,0,0,0,0,0,,,,0,5,2006,WD,Normal,6,6
105,502,0,0,0,0,,,,0,7,2008,WD,Normal,3,3
414,84,0,0,0,0,,,,0,3,2007,WD,Normal,9,7
128,53,0,0,155,0,,,,0,1,2008,WD,Normal,6,6
165,26,0,0,0,0,,,,0,5,2006,WD,Normal,6,6
160,33,0,0,0,0,,,,0,2,2010,WD,Normal,6,6
0,0,0,0,0,0,,,Gar2,15500,4,2007,WD,Normal,5,5
150,72,0,0,0,0,,,,0,5,2006,WD,Normal,6,2
0,0,176,0,0,0,,,,0,5,2010,WD,Normal,5,5
0,96,0,0,0,0,,,,0,1,2010,WD,Normal,8,8
236,46,0,0,0,0,,,,0,8,2008,WD,Normal,0,6
0,224,0,0,0,0,,,,0,6,2007,WD,Normal,4,4
0,28,0,0,0,0,,,,0,4,2009,WD,Normal,1,1
192,87,0,0,0,0,,,,0,8,2007,WD,Normal,2,2
168,98,0,0,0,0,,,,0,1,2009,WD,Normal,2,2
0,88,0,0,0,0,,,,0,8,2008,COD,Normal,1,1
156,20,0,0,0,0,,,,0,5,2008,WD,Normal,6,6
265,0,0,0,0,648,Fa,GdPrv,,0,1,2006,WD,Normal,0,0
0,0,0,0,0,0,,MnPrv,,0,10,2009,WD,Normal,5,5
0,0,36,0,0,0,,GdWo,Shed,600,8,2007,WD,Normal,5,5
0,0,275,0,0,0,,,Shed,500,4,2007,COD,Normal,5,5
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,5,5
100,40,0,0,0,0,,,,0,1,2006,WD,Normal,6,6
0,50,0,0,0,0,,MnPrv,,0,2,2007,WD,Normal,1,1
100,35,0,0,0,0,,,,0,10,2006,WD,Normal,6,6
0,0,0,0,197,0,,,,0,9,2009,WD,Normal,5,5
0,0,0,0,271,0,,MnPrv,,0,5,2006,WD,Normal,5,5
